file,assigned_emo,majority_emo,agreement
s001_con_actor001_impro1_1.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_10.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_11.flac,Neutral,Neutral,0.8571428571428571
s001_con_actor001_impro1_12.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_13.flac,Neutral,Neutral,0.875
s001_con_actor001_impro1_14.flac,Neutral,Neutral,0.8571428571428571
s001_con_actor001_impro1_15.flac,Neutral,Neutral,0.875
s001_con_actor001_impro1_16.flac,Neutral,None,0.0
s001_con_actor001_impro1_17.flac,Neutral,Neutral,0.8571428571428571
s001_con_actor001_impro1_18.flac,Neutral,None,0.0
s001_con_actor001_impro1_19.flac,Neutral,Neutral,0.75
s001_con_actor001_impro1_2.flac,Neutral,Neutral,0.5625
s001_con_actor001_impro1_20.flac,Neutral,Neutral,0.625
s001_con_actor001_impro1_21.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_22.flac,Neutral,Neutral,0.833333333333333
s001_con_actor001_impro1_3.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_4.flac,Neutral,Neutral,0.875
s001_con_actor001_impro1_5.flac,Neutral,Neutral,1.0
s001_con_actor001_impro1_6.flac,Neutral,None,0.0
s001_con_actor001_impro1_7.flac,Neutral,Neutral,0.875
s001_con_actor001_impro1_8.flac,Neutral,Neutral,0.5625
s001_con_actor001_impro1_9.flac,Neutral,Neutral,1.0
s001_con_actor001_impro2_1.flac,Happy,Angry,0.5
s001_con_actor001_impro2_10.flac,Happy,Happy,0.5
s001_con_actor001_impro2_11.flac,Happy,Happy,0.625
s001_con_actor001_impro2_12.flac,Happy,Happy,1.0
s001_con_actor001_impro2_13.flac,Happy,Happy,1.0
s001_con_actor001_impro2_14.flac,Happy,Happy,1.0
s001_con_actor001_impro2_15.flac,Happy,Happy,0.875
s001_con_actor001_impro2_16.flac,Happy,Happy,0.875
